flow_uuid,flowable,context,unit,compartment,flow_class,preferred,external_reference,cas_number,formula,synonyms,trade_relevance
21l21l21-a764-3063-af2d-bcb8309a97d8,Employment,economic,person*year,economic,economic,True,BEA,,,,20
22m22m22-a764-3063-af2d-bcb8309a97d9,Value added,economic,USD,economic,economic,True,BEA,,,,20
b6f010fb-a764-3063-af2d-bcb8309a97b7,Carbon dioxide,emission/air,kg,air,environmental,True,EPA,,,,15
7b8b7b8b-a764-3063-af2d-bcb8309a97b8,Methane,emission/air,kg,air,environmental,True,EPA,,,,15
17h17h17-a764-3063-af2d-bcb8309a97d4,Energy use,resource/natural,MJ,natural resources,resource,True,EPA,,,,14
18i18i18-a764-3063-af2d-bcb8309a97d5,Land use,resource/natural,m2,natural resources,resource,True,EPA,,,,14
16g16g16-a764-3063-af2d-bcb8309a97d3,Water use,resource/natural,L,natural resources,resource,True,EPA,,,,14
a1e1a1e1-a764-3063-af2d-bcb8309a97c1,Nitrogen oxides,emission/air,kg,air,environmental,True,EPA,,,,10
13d13d13-a764-3063-af2d-bcb8309a97d0,Nitrogen total,emission/water,kg,water,environmental,True,EPA,,,,10
b2f2b2f2-a764-3063-af2d-bcb8309a97c2,Particulate matter,emission/air,kg,air,environmental,True,EPA,,,,10
9d0d9d0d-a764-3063-af2d-bcb8309a97c0,Sulfur dioxide,emission/air,kg,air,environmental,True,EPA,,,,10
23n23n23-a764-3063-af2d-bcb8309a97e0,Tax revenue,economic,USD,economic,economic,True,BEA,,,,10
19j19j19-a764-3063-af2d-bcb8309a97d6,Fossil fuel depletion,resource/natural,MJ surplus,natural resources,resource,True,EPA,,,,9
20k20k20-a764-3063-af2d-bcb8309a97d7,Mineral depletion,resource/natural,kg Fe equiv,natural resources,resource,True,EPA,,,,9
e5i5e5i5-a764-3063-af2d-bcb8309a97c5,Ammonia,emission/air,kg,air,environmental,True,EPA,,,,5
f6j6f6j6-a764-3063-af2d-bcb8309a97c6,Benzene,emission/air,kg,air,environmental,True,EPA,,,,5
10a10a10-a764-3063-af2d-bcb8309a97c7,Biological oxygen demand,emission/water,kg,water,environmental,True,EPA,,,,5
c3g3c3g3-a764-3063-af2d-bcb8309a97c3,Carbon monoxide,emission/air,kg,air,environmental,True,EPA,,,,5
11b11b11-a764-3063-af2d-bcb8309a97c8,Chemical oxygen demand,emission/water,kg,water,environmental,True,EPA,,,,5
15f15f15-a764-3063-af2d-bcb8309a97d2,Heavy metals,emission/water,kg,water,environmental,True,EPA,,,,5
8c9c8c9c-a764-3063-af2d-bcb8309a97b9,Nitrous oxide,emission/air,kg,air,environmental,True,EPA,,,,5
14e14e14-a764-3063-af2d-bcb8309a97d1,Phosphorus total,emission/water,kg,water,environmental,True,EPA,,,,5
12c12c12-a764-3063-af2d-bcb8309a97c9,Suspended solids,emission/water,kg,water,environmental,True,EPA,,,,5
d4h4d4h4-a764-3063-af2d-bcb8309a97c4,Volatile organic compounds,emission/air,kg,air,environmental,True,EPA,,,,5
8d3b4dd3-c8d7-4dbc-924f-a562191d6839,1,environmental,kg,environmental,environmental,True,Generated,,,,2
a55c7cbb-e23c-48f3-bbfd-77110c890b95,1,environmental,kg,environmental,environmental,True,Generated,,,,2
4b0e51ee-760c-4dc3-9373-875f8475eed8,2,environmental,kg,environmental,environmental,True,Generated,,,,2
bce11a95-cc5e-4d8c-b1d4-8e6f643cab47,2,environmental,kg,environmental,environmental,True,Generated,,,,2
6c8cd3bf-aa55-4145-8276-c9b1d0e663e4,3,environmental,kg,environmental,environmental,True,Generated,,,,2
43b777ef-38d9-4034-b228-6f28b1c86d95,3,environmental,kg,environmental,environmental,True,Generated,,,,2
b9c2b87a-979e-400b-9664-16c62cc44972,4,environmental,kg,environmental,environmental,True,Generated,,,,2
66a05676-c50f-472d-bf09-9567228a66cf,4,environmental,kg,environmental,environmental,True,Generated,,,,2
dbedb45a-e60b-4d4e-8b34-79de88410e07,5,environmental,kg,environmental,environmental,True,Generated,,,,2
4ceabc96-0fa8-4eda-a443-7ea0af922a1f,5,environmental,kg,environmental,environmental,True,Generated,,,,2
8c6ed0a8-4c0c-4d83-9358-d812cf9c0df9,6,environmental,kg,environmental,environmental,True,Generated,,,,2
9fcde6d9-760a-4807-9e8e-1d2c1a8d450b,6,environmental,kg,environmental,environmental,True,Generated,,,,2
1c3ec3e7-dc6b-4075-ae2e-64920ca5cdfd,7,environmental,kg,environmental,environmental,True,Generated,,,,2
c03c0fb3-7743-483d-aea8-b48d33faf2fc,7,environmental,kg,environmental,environmental,True,Generated,,,,2
e857fccf-1d3d-4cf4-9655-1cc5c415f082,8,environmental,kg,environmental,environmental,True,Generated,,,,2
67b736bd-aa5a-4c86-887a-33a604168061,8,environmental,kg,environmental,environmental,True,Generated,,,,2
223728c2-cf05-409d-9cc9-534cbd5e3081,9,environmental,kg,environmental,environmental,True,Generated,,,,2
46f9e81e-845b-41f2-ad57-438b59ada3fd,9,environmental,kg,environmental,environmental,True,Generated,,,,2
4d7d2a13-0b32-4112-937d-e3f613ea9e09,10,environmental,kg,environmental,environmental,True,Generated,,,,2
f54b0175-214b-4875-8476-9176c91f16ba,10,environmental,kg,environmental,environmental,True,Generated,,,,2
0fdc8af3-2cd7-4186-a263-9ea4964dc47a,11,environmental,kg,environmental,environmental,True,Generated,,,,2
5dbb82c6-3751-49f4-9952-1fa92ed703bb,11,environmental,kg,environmental,environmental,True,Generated,,,,2
449c20b6-f779-4ed6-bf7b-82ba89cca2d2,12,environmental,kg,environmental,environmental,True,Generated,,,,2
64d40c97-a052-4349-a887-f45f1beee99f,12,environmental,kg,environmental,environmental,True,Generated,,,,2
e1e0d56a-8497-4b79-a6e5-7f0c37041a19,13,environmental,kg,environmental,environmental,True,Generated,,,,2
b516f373-785a-436e-9eeb-704432f3d2e3,13,environmental,kg,environmental,environmental,True,Generated,,,,2
1a5f2e2a-0f92-47eb-9797-00a4401a92f5,14,environmental,kg,environmental,environmental,True,Generated,,,,2
7cc1957e-216c-4b10-bbc7-4b92461cb570,14,environmental,kg,environmental,environmental,True,Generated,,,,2
04e81b8d-8955-4a56-bc26-32cb14c0b808,15,environmental,kg,environmental,environmental,True,Generated,,,,2
fdbafaec-234c-404f-9db7-660b8d11b818,15,environmental,kg,environmental,environmental,True,Generated,,,,2
f5a6f8e8-dc1a-455b-8b91-c1f8844482b6,16,environmental,kg,environmental,environmental,True,Generated,,,,2
6ff2aa0b-333a-4e7d-b0d3-458bd0ea79a9,16,environmental,kg,environmental,environmental,True,Generated,,,,2
49dd8014-b794-4559-8fc9-ea7a22e5dfb9,17,environmental,kg,environmental,environmental,True,Generated,,,,2
ff4b14f2-b1cc-45fe-bf56-1ca910411260,17,environmental,kg,environmental,environmental,True,Generated,,,,2
e28b4ebb-68e6-47fb-894d-9f2f4e29e3ba,18,environmental,kg,environmental,environmental,True,Generated,,,,2
5b0d77d9-f85c-4524-993e-dafda1c89eae,18,environmental,kg,environmental,environmental,True,Generated,,,,2
443b1ad0-dac9-4d1a-b9ac-058ac4194415,19,environmental,kg,environmental,environmental,True,Generated,,,,2
7fe029f8-56ec-4db4-9b02-4bdf03aa0521,19,environmental,kg,environmental,environmental,True,Generated,,,,2
e18b08fb-0316-4aef-8f0e-acefd7f8a5ae,20,environmental,kg,environmental,environmental,True,Generated,,,,2
78d58484-b929-4fe8-a1de-bd0a013736cc,20,environmental,kg,environmental,environmental,True,Generated,,,,2
770a0846-fffd-46aa-889f-f42ad8f9201b,21,environmental,kg,environmental,environmental,True,Generated,,,,2
fff523a9-c7b6-40f5-b864-92b31423c438,21,environmental,kg,environmental,environmental,True,Generated,,,,2
8fe9cf5c-208c-4587-b6b6-655ceccd3426,22,environmental,kg,environmental,environmental,True,Generated,,,,2
df8420b0-2274-461e-bf9c-62489b2ddfae,22,environmental,kg,environmental,environmental,True,Generated,,,,2
67a3eadd-d84e-478a-96e9-ecb3c9158081,23,environmental,kg,environmental,environmental,True,Generated,,,,2
0b1f8551-a17a-4788-b0a5-47ee33b4fbd7,23,environmental,kg,environmental,environmental,True,Generated,,,,2
ec18f426-0c66-40ff-8a04-d089d435fddf,24,environmental,kg,environmental,environmental,True,Generated,,,,2
741bb29e-a269-4506-9ced-84c7e1305474,24,environmental,kg,environmental,environmental,True,Generated,,,,2
e1d2cab7-601c-487f-b89e-c9c5faca3426,25,environmental,kg,environmental,environmental,True,Generated,,,,2
2c08d4ed-1eb0-4809-90c2-e77e20fe7229,25,environmental,kg,environmental,environmental,True,Generated,,,,2
587256ca-1370-42ca-b037-3d7c3605d38c,26,environmental,kg,environmental,environmental,True,Generated,,,,2
827bb306-cd74-4dab-b32a-7c23c55cb5bb,26,environmental,kg,environmental,environmental,True,Generated,,,,2
e2ad16e3-01ff-49d6-b72e-13b880ed8092,27,environmental,kg,environmental,environmental,True,Generated,,,,2
0e87c959-1c3b-4c0e-8bcb-87320cabe989,27,environmental,kg,environmental,environmental,True,Generated,,,,2
b9d18744-8659-430c-965a-a2a12bde32d5,28,environmental,kg,environmental,environmental,True,Generated,,,,2
4e81ef77-af26-4fd0-a1f8-0f1beb9c6dd2,28,environmental,kg,environmental,environmental,True,Generated,,,,2
bccb849e-86e1-44b4-a117-bd5c1cc6f604,29,environmental,kg,environmental,environmental,True,Generated,,,,2
d2bead7d-35a2-4d5a-baba-7f9c321ada96,29,environmental,kg,environmental,environmental,True,Generated,,,,2
f8eabab9-b5e3-48e1-bfbd-86b87f394227,30,environmental,kg,environmental,environmental,True,Generated,,,,2
b07df745-ad8b-42eb-9da5-7b24e4b5aa86,30,environmental,kg,environmental,environmental,True,Generated,,,,2
fc2e2286-275e-412e-963f-587ae6eb1f18,31,environmental,kg,environmental,environmental,True,Generated,,,,2
c4b51b9c-c196-445d-bff1-9076f2fbc3ea,31,environmental,kg,environmental,environmental,True,Generated,,,,2
69499438-1302-42ec-bf53-34b9289add33,32,environmental,kg,environmental,environmental,True,Generated,,,,2
b50a6ef2-0bba-4085-b10e-bdb5ea793d34,32,environmental,kg,environmental,environmental,True,Generated,,,,2
c1fab736-5127-4468-8971-fe1e68988752,33,environmental,kg,environmental,environmental,True,Generated,,,,2
c66f1ceb-4015-4987-9df1-d46d2e33efe9,33,environmental,kg,environmental,environmental,True,Generated,,,,2
945c76cc-1a4a-431d-907d-10b5b7b88208,34,environmental,kg,environmental,environmental,True,Generated,,,,2
979aa3e9-72d9-4b1e-b8c7-ad49d3fab6bf,34,environmental,kg,environmental,environmental,True,Generated,,,,2
96dd828b-8489-42d1-8dfd-c31ffd73fd23,35,environmental,kg,environmental,environmental,True,Generated,,,,2
0137f44b-6ee1-4992-b9bf-9dea1b73750a,35,environmental,kg,environmental,environmental,True,Generated,,,,2
5eeacb61-88bb-4402-9e41-ab01679b1ee2,36,environmental,kg,environmental,environmental,True,Generated,,,,2
bc65edc6-61cb-4b8d-ba76-2e923c1bb6f7,36,environmental,kg,environmental,environmental,True,Generated,,,,2
f8cf9223-2b1f-4c0c-87ba-96a8f54022ca,37,environmental,kg,environmental,environmental,True,Generated,,,,2
c025f3fe-06d1-467f-bd62-f9746e53e57b,37,environmental,kg,environmental,environmental,True,Generated,,,,2
